City,Country,Lat,Lng,Max Temp,Pressure,Humidity,Cloudiness,Wind Speed,Date
Tigil',RU,57.8,158.6667,34.41,1010,80,0,3.76,1615873959
Codrington,AU,-38.2667,141.9667,62.76,1024,65,39,10.54,1615873959
Mar del Plata,AR,-38.0023,-57.5575,70.0,1013,88,100,9.22,1615873901
Casino,AU,-28.8667,153.05,69.8,1020,83,100,4.61,1615873960
Hithadhoo,MV,-0.6,73.0833,82.29,1011,72,99,8.16,1615873960
Kavaratti,IN,10.5669,72.642,83.62,1012,70,28,10.11,1615873960
Bambous Virieux,MU,-20.3428,57.7575,84.2,1014,70,75,11.5,1615873961
Domoni,KM,-12.2569,44.5319,85.15,1011,65,4,3.09,1615873961
Tasiilaq,GL,65.6145,-37.6368,19.45,1004,92,100,21.07,1615873961
Salalah,OM,17.0151,54.0924,78.8,1016,53,0,4.61,1615874053
Chui,UY,-33.6971,-53.4616,65.08,1014,92,73,5.12,1615873961
Rikitea,PF,-23.1203,-134.9692,80.19,1013,80,62,18.25,1615873962
Avera,US,33.194,-82.5271,59.0,1020,82,90,6.91,1615874504
Hilo,US,19.7297,-155.09,75.2,1016,73,90,3.44,1615874504
Gashua,NG,12.871,11.0482,77.41,1007,22,89,6.11,1615873962
Lorengau,PG,-2.0226,147.2712,85.5,1007,65,59,7.45,1615873963
Saint-Philippe,RE,-21.3585,55.7679,84.99,1013,74,0,19.57,1615874505
Bredasdorp,ZA,-34.5322,20.0403,55.4,1016,94,36,1.14,1615873963
Outlook,CA,51.5001,-107.0513,30.2,1018,80,100,10.36,1615873963
Qurayyat,SA,31.3318,37.3428,55.4,1011,71,0,11.07,1615873964
Avarua,CK,-21.2078,-159.775,78.8,1013,83,10,2.3,1615873695
Severnyy,RU,50.677,36.5532,32.0,1012,93,75,17.9,1615873964
Khatanga,RU,71.9667,102.5,-30.41,1014,92,60,9.57,1615873965
Ushuaia,AR,-54.8,-68.3,35.6,1007,69,75,5.75,1615873965
Qiongshan,CN,20.0058,110.3542,84.2,1012,58,75,8.95,1615873965
Bubaque,GW,11.2833,-15.8333,77.41,1009,55,0,15.68,1615873966
