,City,Country,Lat,Lng,Hotel
0,Tigil',RU,57.8,158.6667,Tigil'
1,Codrington,AU,-38.2667,141.9667,Codrington
2,Mar del Plata,AR,-38.0023,-57.5575,Mar del Plata
3,Casino,AU,-28.8667,153.05,Casino
4,Hithadhoo,MV,-0.6,73.0833,Hithadhoo
5,Kavaratti,IN,10.5669,72.642,Kavaratti
6,Bambous Virieux,MU,-20.3428,57.7575,Bambous Virieux
7,Domoni,KM,-12.2569,44.5319,Domoni
8,Tasiilaq,GL,65.6145,-37.6368,Tasiilaq
9,Salalah,OM,17.0151,54.0924,Salalah
10,Chui,UY,-33.6971,-53.4616,Chui
11,Rikitea,PF,-23.1203,-134.9692,Rikitea
12,Avera,US,33.194,-82.5271,Avera
13,Hilo,US,19.7297,-155.09,Hilo
14,Gashua,NG,12.870999999999999,11.0482,Gashua
15,Lorengau,PG,-2.0226,147.2712,Lorengau
16,Saint-Philippe,RE,-21.3585,55.7679,Saint-Philippe
17,Bredasdorp,ZA,-34.5322,20.0403,Bredasdorp
18,Outlook,CA,51.5001,-107.0513,Outlook
19,Qurayyat,SA,31.3318,37.3428,Qurayyat
20,Avarua,CK,-21.2078,-159.775,Avarua
21,Severnyy,RU,50.677,36.5532,Severnyy
22,Khatanga,RU,71.9667,102.5,Khatanga
23,Ushuaia,AR,-54.8,-68.3,Ushuaia
24,Qiongshan,CN,20.0058,110.3542,Qiongshan
25,Bubaque,GW,11.2833,-15.8333,Bubaque
26,Thompson,CA,55.7435,-97.8558,Thompson
27,Leningradskiy,RU,69.3833,178.4167,Leningradskiy
28,Vrangel',RU,42.7297,133.0839,Vrangel'
29,São Filipe,CV,14.8961,-24.4956,São Filipe
30,Touros,BR,-5.1989,-35.4608,Touros
31,Kavieng,PG,-2.5744,150.7967,Kavieng
32,Togur,RU,58.3631,82.8265,Togur
33,Xichang,CN,27.8964,102.2634,Xichang
34,Bluff,NZ,-46.6,168.3333,Bluff
35,Albany,US,42.6001,-73.9662,Albany
36,Port Lincoln,AU,-34.7333,135.8667,Port Lincoln
37,Kieta,PG,-6.2167,155.6333,Kieta
38,Bengkulu,ID,-3.8004,102.2655,Bengkulu
39,Bathsheba,BB,13.2167,-59.5167,Bathsheba
40,Sète,FR,43.4018,3.6966,Sète
41,Sharlyk,RU,52.9167,54.75,Sharlyk
42,Mataura,NZ,-46.1927,168.8643,Mataura
43,Hofn,IS,64.2539,-15.2082,Hofn
44,Busselton,AU,-33.65,115.3333,Busselton
45,Arcata,US,40.8665,-124.0828,Arcata
46,Kutum,SD,14.2,24.6667,Kutum
47,Seydi,TM,39.4816,62.9137,Seydi
48,Saskylakh,RU,71.9167,114.0833,Saskylakh
49,Yunyang,CN,33.4474,112.7142,Yunyang
50,Sibolga,ID,1.7427,98.7792,Sibolga
51,Cidreira,BR,-30.1811,-50.2056,Cidreira
52,El Rosario,MX,24.2556,-107.1828,El Rosario
53,Esim,GH,4.8699,-2.2405,Esim
54,Jamestown,US,42.097,-79.2353,Jamestown
55,Weligama,LK,5.9667,80.4167,Weligama
